,Unnamed: 0,SGDID,Pathway,PathwayID
161,161,S000005048,L-leucine biosynthesis,LEUSYN-PWY-1
162,162,S000005048,superpathway of branched chain amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY-1
163,163,S000005634,L-leucine biosynthesis,LEUSYN-PWY-1
164,164,S000005634,superpathway of branched chain amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY-1
165,165,S000004915,5-aminoimidazole ribonucleotide biosynthesis II,PWY-6122-1
166,166,S000004915,de novo biosynthesis of purine nucleotides,DENOVOPURINE3-PWY
167,167,S000004915,"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY-1
168,168,S000004915,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
169,169,S000004915,superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY
170,170,S000006388,glycogen catabolism,GLYCOCAT-YEAST-PWY
171,171,S000000274,lipid-linked oligosaccharide biosynthesis,GLUCOSE-MANNOSYL-CHITO-DOLICHOL
172,172,S000003015,lipid-linked oligosaccharide biosynthesis,GLUCOSE-MANNOSYL-CHITO-DOLICHOL
173,173,S000005085,"salvage pathways of adenine, hypoxanthine and their nucleosides",PWY3O-2220
174,174,S000005085,salvage pathways of purines and their nucleosides,PWY3O-1
175,175,S000005085,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
176,176,S000004779,&beta;-alanine biosynthesis IV,PWY-5760-1
177,177,S000004779,pantothenate and coenzyme A biosynthesis,PANTOSYN2-PWY
178,178,S000004780,&beta;-alanine biosynthesis IV,PWY-5760-1
179,179,S000004780,ethanol degradation,PWY3O-4300
180,180,S000004780,pantothenate and coenzyme A biosynthesis,PANTOSYN2-PWY
181,181,S000004780,superpathway of glucose fermentation,GLUCFERMEN-PWY
182,182,S000002762,L-tryptophan biosynthesis,TRPSYN-PWY-1
183,183,S000002762,superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY-1
184,184,S000002762,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
185,185,S000000892,L-tryptophan biosynthesis,TRPSYN-PWY-1
186,186,S000000892,superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY-1
187,187,S000000892,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
188,188,S000005419,L-arginine biosynthesis II (acetyl cycle),ARGSYNBSUB-PWY
189,189,S000003170,L-tyrosine degradation III,PWY3O-4108
190,190,S000003170,methionine salvage pathway,PWY3O-64
191,191,S000003170,phenylalanine biosynthesis,PWY3O-4153
192,192,S000003170,phenylalanine degradation,PWY3O-4115
193,193,S000003170,superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY-1
194,194,S000003170,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
